step,time,maximum,minimum,heat,supplied,removed,balance,error
0,0,0,0,0,0,0,0,0
500,4.9999999999999378,1.0787815608044249,0.24753418100554583,16.422095179249144,16.437023213585412,0.014928034336127707,-1.2103751161063325e-13,0.828781560804428
1000,9.9999999999998312,1.964644550639624,0.50804048431807125,32.813696246007616,32.874046427170825,0.060350181162519098,-7.006912411400279e-13,1.4646445506396324
1500,14.999999999999725,2.7506390454883394,0.7984548838518617,49.172086783489249,49.31106964075601,0.13898285726603507,-7.2874258710831086e-13,2.0006390454883531
2000,20.000000000000327,3.4727925114855638,1.123163953214757,65.49327680355907,65.748092854341692,0.25481605078253866,1.6787873174939349e-13,2.4727925114855474
2500,25.000000000001108,4.1496992001076247,1.4792913454446792,81.773249950311836,82.18511606792724,0.41186611761674996,1.4774024018060494e-12,2.8996992001075697
3000,30.00000000000189,4.7926585779445832,1.8616797083607239,98.008509422915239,98.62213928151229,0.61362985859878816,1.765544307974487e-12,3.292658577944489
3500,35.000000000001606,5.4093143537263977,2.2650931521114162,114.19619948529558,115.05916249509789,0.86296300980499563,2.2678456335079034e-12,3.6593143537263177
4000,40.000000000000611,6.0051984096834881,2.6849503699956534,130.33406156060732,131.49618570868276,1.162124148078119,2.2161508739237945e-12,4.0051984096834579
4500,44.999999999999616,6.5844740555179921,3.117469577879882,146.42034294666624,147.93320892226927,1.5128659756037595,1.3608801585629493e-12,4.3344740555180117
5000,49.999999999998622,7.1503419685007454,3.5596091135240986,162.45370265085893,164.37023213585343,1.9165294849941652,-6.1371047133107481e-13,4.6503419685008147
5500,54.999999999997627,7.7052903363280674,4.0089525605955609,178.43312861719645,180.80725534943866,2.3741267322377984,-3.9960396103211338e-12,4.9552903363281864
6000,59.999999999996632,8.251264636320025,4.4635918161673125,194.357869261236,197.24427856302412,2.8864093017800014,-7.9974499245238917e-12,5.2512646363201938
6500,64.999999999996348,8.7897906037182434,4.9220248058299481,210.22737833961733,213.6813017766093,3.4539234369826533,-9.6314206610159658e-12,5.5397906037184264
7000,69.999999999998906,9.3220667816290828,5.3830710579694339,226.04127111318979,230.11832499019437,4.0770538769945022,-1.0013864737423717e-11,5.8220667816291378
