step,time,maximum,minimum,heat,supplied,removed,balance,error
0,0,0,0,0,0,0,0,0
500,4.9999999999999378,1.078781445625643,0.23172521980392682,16.212848308185706,16.437023213585412,0.22417490539959445,-1.193663223819641e-13,0.82878144562564615
1000,9.9999999999998312,1.964556307516939,0.46155346497719629,32.001817014885646,32.874046427170825,0.87222941228452922,-6.7943827647409805e-13,1.4645563075169474
1500,14.999999999999725,2.7493832125263116,0.70743466995788973,47.390772635270352,49.31106964075601,1.9202970054851396,-8.1223309328359861e-13,1.9993832125263253
2000,20.000000000000327,3.4671022760697312,0.97298925969692884,62.396964790193294,65.748092854341692,3.3511280641483099,-4.2778280917588063e-14,2.4671022760697152
2500,25.000000000001108,4.1341183470061198,1.2554813761679273,77.034563974106376,82.18511606792724,5.1505520938221929,1.2486817135837214e-12,2.8841183470060647
3000,30.00000000000189,4.7601638722695467,1.5505298783290395,91.315838636071589,98.62213928151229,7.3063006454429935,2.0541415790553685e-12,3.2601638722694526
3500,35.000000000001606,5.3519301397685437,1.8539321652728684,105.25174239365222,115.05916249509789,9.807420101448038,2.7244630163014705e-12,3.6019301397684638
4000,40.000000000000611,5.9144403903564875,2.1621768370663985,118.85226324494285,131.49618570868276,12.643922463743683,3.2240043967846077e-12,3.9144403903564573
4500,44.999999999999616,6.4516352310375984,2.4724856878966963,132.12665280691542,147.93320892226927,15.806556115356278,3.1277619383374144e-12,4.201635231037617
5000,49.999999999998622,6.9666671997171115,2.7827157278915839,145.08358528302867,164.37023213585343,19.286646852827172,2.1988938447847772e-12,4.4666671997171807
5500,54.999999999997627,7.4620798167199576,3.0912372456754622,157.73127101507626,180.80725534943866,23.075984334363309,2.0355939156502245e-13,4.7120798167200766
6000,59.999999999996632,7.9399341225537112,3.3968238307824108,170.07753895218386,197.24427856302412,27.166739610836959,-3.1196989436210742e-12,4.93993412255388
6500,64.999999999996348,8.4019060132769461,3.6985623104978669,182.12989719146452,213.6813017766093,31.551404585137679,-6.7633121325627599e-12,5.151906013277129
7000,69.999999999998906,8.8493638014003242,3.9957816495130363,193.89557781027329,230.11832499019437,36.222747179910712,-9.8459018715857383e-12,5.3493638014003793
7500,75.000000000001464,9.2834306269732405,4.287997614664004,205.38157035875312,246.55534820377909,41.173777845013674,-1.1946832412235153e-11,5.5334306269731677
8000,80.000000000004022,9.7050346399617613,4.574869923126565,216.5946471324576,262.99237141736393,46.397724284892739,-1.3533202336546424e-11,5.7050346399615606
8500,85.00000000000658,10.114949179690939,4.8561690958070676,227.54138247101054,279.42939463094837,51.888012159923967,-1.4283407789861258e-11,5.8649491796906101
9000,90.000000000009138,10.513824791193157,5.1317508105742382,238.22816770594133,295.86641784453315,57.638250138577291,-1.4576839735269687e-11,6.0138247911926994
9500,95.000000000011696,10.902214626809439,5.4015360454673491,248.66122293296391,312.30344105811844,63.642218125139927,-1.3870349313549468e-11,6.1522146268088544
10000,100.00000000001425,11.280594528002302,5.6654956959342133,258.84660646050605,328.74046427170197,69.893857811185327,-1.2027545626125402e-11,6.2805945280015898
10500,105.00000000001681,11.649378857145338,5.9236386541110937,268.79022255225038,345.17748748528828,76.387264933028916,-8.8460350156083223e-12,6.3993788571444972
11000,110.00000000001937,12.008932952371859,6.1760025706083654,278.49782791192439,361.6145106988721,83.116682786943556,-3.6107228318371654e-12,6.5089329523708912
11500,115.00000000002193,12.359582910816883,6.4226466969530875,287.97503723570139,378.05153391245761,90.076496676757642,2.8689828290850983e-12,6.6095829108157869
12000,120.00000000002449,12.701623265470392,6.6636463430345749,297.22732806854975,394.4885571260416,97.261229057502092,1.0977219133678773e-11,6.7016232654691672
12500,125.00000000002704,13.03532300572944,6.8990885886555393,306.26004513632148,410.92558033962513,104.66553520332369,1.9450885346827818e-11,6.7853230057280882
13000,130.00000000002674,13.360930298310128,7.1290689691283715,315.07840427856047,427.36260355320979,112.28419927467932,2.9137137147472458e-11,6.8609302983087916
13500,135.0000000000222,13.678676190074976,7.3536889174004285,323.68749607307325,443.7996267667944,120.11213069376036,3.9393599493564579e-11,6.9286761900738654
14000,140.00000000001765,13.988777514381118,7.5730537936795752,332.09228921872858,460.23664998038038,128.14436076170051,4.9716009087319435e-11,6.9887775143802351
14500,145.0000000000131,14.291439174958782,7.7872713711742572,340.29763372505539,476.67367319396521,136.37603946896945,5.9590998802150352e-11,7.0414391749581275
15000,150.00000000000855,14.586855943698982,7.9964506758132696,348.30826394432222,493.11069640755176,144.80243246329974,7.0368599836001522e-11,7.0868559436985548
15500,155.00000000000401,14.875213879072735,8.2007011005531307,356.12880147232727,509.54771962113608,153.41891814888933,8.1391893225202239e-11,7.1252138790725352
16000,159.99999999999946,15.156691448592342,8.4001317325689335,363.76375793737276,525.98474283472046,162.22098489744064,9.2239105242697406e-11,7.1566914485923698
16500,164.99999999999491,15.431460420437352,8.5948508453814707,371.21753769185648,542.42176604830695,171.2042283565516,1.0296519192820597e-10,7.181460420437606
17000,169.99999999999037,15.699686575045604,8.7849655186736921,378.49444041743391,558.85878926189082,180.3643488445704,1.1380840714281248e-10,7.199686575046087
17500,174.99999999998582,15.961530276268389,8.9705813568707278,385.59866365195461,575.29581247547526,189.69714882364718,1.2606971022677271e-10,7.2115302762690998
18000,179.99999999998127,16.21714693293789,9.1518022840263296,392.53430524457661,591.73283568905981,199.19853044462039,1.3642942331415497e-10,7.217146932938828
