step,time,maximum,minimum,heat,supplied,removed,balance,error
0,0,0,0,0,0,0,0,0
500,4.9999999999999378,1.2378524895177319,0.2298297636829828,16.212848308185659,16.437023213585412,0.2241749053995945,-1.2246171958441021e-13,0.98785248951773497
1000,9.9999999999998312,2.4523670590354558,0.44343375940387009,32.001817014885901,32.874046427170825,0.87222941228453077,-3.8765084892089519e-13,1.9523670590354643
1500,14.999999999999725,3.6435142565422391,0.64691930624753646,47.39077263527075,49.31106964075601,1.9202970054851536,-3.0767142306098449e-13,2.8935142565422529
2000,20.000000000000327,4.8087584297771224,0.84242907184651072,62.396964790193159,65.748092854341692,3.3511280641483374,-2.5831160127554043e-13,3.8087584297771064
2500,25.000000000001108,5.9448911577124104,1.0311929839993002,77.034563974103975,82.18511606792724,5.1505520938221974,-1.0255823967852962e-12,4.6948911577123553
3000,30.00000000000189,7.0494073192433966,1.2140343620036638,91.315838636067554,98.62213928151229,7.30630064544291,-2.1162238628136265e-12,5.5494073192433024
3500,35.000000000001606,8.1207969703764,1.3915499284044646,105.25174239364716,115.05916249509789,9.8074201014478284,-3.2200318800246208e-12,6.3707969703763201
4000,40.000000000000611,9.1584093205717156,1.5641932849975613,118.85226324493658,131.49618570868276,12.643922463743298,-3.4335277676600384e-12,7.1584093205716854
4500,44.999999999999616,10.162232829113476,1.7323208863265041,132.12665280691104,147.93320892226927,15.806556115355693,-2.0424217872516692e-12,7.9122328291134956
5000,49.999999999998622,11.132699395398568,1.8962205336083444,145.08358528302753,164.37023213585343,19.286646852826436,6.4541427757802694e-13,8.6326993953986371
5500,54.999999999997627,12.070534024923862,2.0561303618486488,157.73127101507993,180.80725534943866,23.075984334362541,3.6801256486640455e-12,9.3205340249239814
6000,59.999999999996632,12.97664597580296,2.2122519994141912,170.07753895219508,197.24427856302412,27.166739610836281,6.8892808124942917e-12,9.9766459758031285
6500,64.999999999996348,13.852052184182883,2.3647598687525586,182.12989719148223,213.6813017766093,31.551404585137306,1.0261735905459091e-11,10.602052184183066
7000,69.999999999998906,14.697824370513832,2.5138078205488141,193.89557781029768,230.11832499019437,36.222747179910854,1.3794562714330993e-11,11.197824370513887
