step,water,bank,speed,rmin,rmax,overhang,bad,shore_flux,wet_front,bank_total,fraction_min,fraction_max,bulk_front
0,6952.9862148518732,0,0.096043727490979044,1,1.0241,0,0,2.5016416589251881e-08,260,0,0,1,255
60,6952.9862148518687,1.1990408665951691e-14,0.10142043608730567,0.93186490245312492,1.1162988770331852,0,0,-0.00032010785704874272,260,3.6014191628908065e-11,-0.005097812623052745,1,253
120,6952.9862148518814,2.042810365310288e-14,0.10963869561624494,0.93637670350939384,1.0802520970460787,0,0,4.5244668310146572e-06,260,6.9678929293104375e-11,0,1,250
180,6952.9862148518523,2.708944180085382e-14,0.10221764547038427,0.94094022998765969,1.0820599026365174,0,0,1.3689796809634572e-05,260,1.0301537400891903e-10,0,1,250
240,6952.9862148518523,3.7081449022480228e-14,0.11012157457480286,0.93762173512288161,1.074838471231909,0,0,0.00038871685348767495,260,1.3621226369053829e-10,0,1,250
300,6952.9862148518387,4.241051954068098e-14,0.11375064539043925,0.991244775512369,1.0564774491498798,0,0,0.0040967489299298431,260,1.6684043036008234e-10,-0.077411326765721378,1,255
360,6952.9862148518605,4.929390229335695e-14,0.10873917892429516,0.94417652907460081,1.0646228498296875,0,0,-0.0044369330274384132,259,1.9778401139092239e-10,-0.05251167674407161,1.0029421443939042,255
420,6952.9862148518532,5.7398530373120593e-14,0.10321843074544754,0.93997368375682278,1.0543816665147963,0,0,0.00013287154538951402,259,2.3053037256914877e-10,-0.014547798655219601,1.0203853672343297,255
480,6952.9862148518596,6.7057470687359455e-14,0.10247127824495442,0.9948926667313478,1.0512530611912052,1,0,0.0025517585161363666,259,2.6013946552438938e-10,0,1,255
540,6952.9862148518805,7.3940853440035426e-14,0.096983924268385674,0.96904661171534134,1.1023421362341537,2,0,0.003326004215141916,259,2.8620916747712499e-10,0,1,255
600,6952.9862148518914,7.9825035470548755e-14,0.094705931054779244,0.96143802274141221,1.0398538035828382,2,0,0.00047491578303781549,259,3.1781022258314806e-10,0,1,255
660,6952.9862148518732,8.482103908136196e-14,0.094298899253871471,0.96529693610575207,1.0442501383914948,2,0,-0.0021775618151413587,259,3.4900804468662727e-10,-0.055859035373860833,1,255
720,6952.9862148518587,9.0372154204487742e-14,0.093055463277693928,0.95321793011414557,1.0713713380811121,4,0,-9.2146470743004386e-05,259,3.7295921906377316e-10,0,1,255
780,6952.9862148518805,9.5923269327613525e-14,0.09054621962012295,0.97139627839436182,1.0506127554060365,4,0,0.0013600219433639519,259,4.0229386488732644e-10,0,1,255
840,6952.9862148518778,1.021405182655144e-13,0.092762705586052291,0.97190514556670293,1.060175857272786,6,0,0.0010424346999149496,259,4.3306602748316436e-10,0,1.0004034067407115,255
900,6952.9862148518787,1.0880185641326534e-13,0.093922684949621735,0.96361646933110345,1.0559402931385371,5,0,-0.00099830412169453898,259,4.595129832196676e-10,0,1,255
