step,water,bank,speed,rmin,rmax,overhang,bad,shore_flux,wet_front,bank_total,fraction_min,fraction_max,bulk_front
0,4810.7536000000118,0,0,1,1.0151999999999999,0,0,0,125,0,0,1,125
60,4810.7535999999955,1.2878587085651816e-14,0.00023679957295455407,1,1.0154403441364686,0,0,5.348565944107067e-11,125,2.7259972057436244e-11,0,1,125
120,4810.7536000000027,1.9539925233402755e-14,0.0001097572653138462,1,1.0159038976490726,0,0,0.00011522147819555852,125,5.2897020097475433e-11,0,1,125
180,4810.7535999999964,2.7311486405778851e-14,0.0002405871801286904,1,1.015629466711595,0,0,-4.855781495577384e-05,125,7.8703710215677347e-11,0,1,125
240,4810.7535999999964,3.3750779948604759e-14,8.1387138943542082e-05,1,1.0151989809700788,0,0,-5.6719482217959218e-05,125,1.044575537179071e-10,0,1,125
300,4810.7536000000264,4.241051954068098e-14,0.00021403759892473447,1,1.0153891209370223,0,0,7.1037605730474098e-05,125,1.3032641632548803e-10,0,1,125
360,4810.7536000000136,4.8849813083506888e-14,0.00013404311240923188,1,1.0158387446383654,0,0,2.0494864422176919e-05,125,1.5604961767223813e-10,0,1,125
420,4810.7535999999991,5.6621374255882984e-14,0.00018090385010846165,1,1.015714512096151,0,0,6.983983392920072e-06,125,1.8210122298967235e-10,0,1,125
480,4810.7536000000009,6.3060667798708891e-14,0.0001659429349531435,1,1.0154082035575027,0,0,-2.423131011244401e-05,125,2.0779777898383145e-10,0,1,125
540,4810.7536000000082,7.2386541205560206e-14,8.7427792017276119e-05,1,1.0152312286517275,0,0,-6.3303707200809903e-05,125,2.3360291478979889e-10,0,1,125
600,4810.7536000000009,7.7937656328685989e-14,0.0002080481872346752,1,1.0155025476256376,0,0,4.8845640257822478e-05,125,2.5947843873552756e-10,0,1,125
660,4810.7536000000064,8.5265128291212022e-14,6.5557009459195887e-05,1,1.0158564096522043,0,0,8.9306227620088483e-05,125,2.8551627728745643e-10,0,1,125
720,4810.7536000000046,9.1926466438962962e-14,0.00021020039600752054,1,1.0156432666133712,0,0,-6.0977686444308753e-05,125,3.1143132517286176e-10,0,1,125
780,4810.7536000000082,9.6145313932538556e-14,8.694933457984622e-05,1,1.0152331772036327,0,0,-4.9269650340677563e-05,125,3.3727776127534526e-10,0,1,125
840,4810.7536000000027,1.0391687510491465e-13,0.00019158047531842761,1,1.015371991541931,0,0,5.1143237118542698e-05,125,3.6334624198275378e-10,0,1,125
900,4810.7535999999836,1.0969003483296547e-13,0.00012617599915275694,1,1.0157586867395756,0,0,1.3516728882072383e-05,125,3.893916300512501e-10,0,1,125
960,4810.7536000000036,1.1612932837579137e-13,0.0001267196243982271,1,1.0157434369682909,0,0,3.2312038707884613e-05,125,4.1532821626333316e-10,0,1,125
1020,4810.7535999999973,1.2212453270876722e-13,0.00016412216015293719,1,1.0154571591125123,0,0,-2.4339525124277495e-05,125,4.411422338534976e-10,0,1,125
1080,4810.7535999999982,1.2656542480726785e-13,6.3509842842738952e-05,1,1.015250171986277,0,0,-6.1858282120666987e-05,125,4.6703352296617595e-10,0,1,125
1140,4810.7535999999873,1.34781075189494e-13,0.00018801963298063366,1,1.0154792950933862,0,0,6.570292225452053e-05,125,4.9294901494079113e-10,0,1,125
1200,4810.7535999999709,1.4011014570769476e-13,6.271306870879551e-05,1,1.0158152512124246,0,0,4.0924438271643928e-05,125,5.1891535512993414e-10,0,1,125
