step,water,bank,speed,rmin,rmax,overhang,bad,span_velocity,span_difference
0,16965.571199999969,0,0,1,1.0107999999999999,0,0,0,0
20,16965.571199999642,5.9952043329758453e-15,0.000301901933376316,1,1.0110234946824843,0,0,1.8735013540549517e-16,0
40,16965.571199999915,9.3258734068513149e-15,0.000192225935380932,1,1.011643561329745,0,0,2.1510571102112408e-16,0
60,16965.571199999718,1.3988810110276972e-14,0.00015312413732377752,1,1.0116581847716448,0,0,2.4286128663675299e-16,0
80,16965.571199999868,1.5099033134902129e-14,0.000328820345900681,1,1.0113354199728668,0,0,2.2898349882893854e-16,0
100,16965.571199999791,1.8207657603852567e-14,0.00024396771327815867,1,1.0110971618088294,0,0,2.2204460492503131e-16,0
120,16965.571199999871,2.042810365310288e-14,9.3668389218227104e-05,1,1.0107077100697019,0,0,2.3592239273284576e-16,0
140,16965.571199999813,2.3536728122053319e-14,0.00023766414984261152,1,1.0110031026541408,0,0,3.0531133177191805e-16,0
160,16965.571200000173,2.5979218776228663e-14,0.00028117929725040094,1,1.0111510182703267,0,0,2.6367796834847468e-16,0
180,16965.57120000026,2.8643754035329039e-14,0.00012124334758546932,1,1.0116274368194857,0,0,3.0531133177191805e-16,0
200,16965.571200000086,3.0864200084579352e-14,0.00014218825897568266,1,1.0115450084415245,0,0,2.3592239273284576e-16,0
220,16965.571199999944,3.2862601528904634e-14,0.00030028549867161156,1,1.0112899742446524,0,0,2.4286128663675299e-16,0
240,16965.571200000217,3.4861002973229915e-14,0.00016469265025222926,1,1.0108608808988055,0,0,2.4980018054066022e-16,0
260,16965.571200000046,3.8191672047105385e-14,0.00010275234435643313,1,1.0108155346195529,0,0,2.7061686225238191e-16,0
280,16965.571200000082,4.0412118096355698e-14,0.00026771165777705273,1,1.011014492050869,0,0,2.7755575615628914e-16,0
300,16965.57120000018,4.3520742565306136e-14,0.00019705852717847162,1,1.0113588164288068,0,0,2.7755575615628914e-16,0
320,16965.571200000322,4.4853010194856324e-14,5.7618574944436261e-05,1,1.0115970032719259,0,0,2.6367796834847468e-16,0
340,16965.571200000039,4.7961634663806763e-14,0.00019478638286555321,1,1.0113884657583911,0,0,2.6367796834847468e-16,0
360,16965.571200000035,5.1514348342607263e-14,0.00023507858585375779,1,1.0111784311482215,0,0,2.7061686225238191e-16,0
380,16965.571199999988,5.440092820663267e-14,0.00010065603405929155,1,1.0108111485029259,0,0,3.2612801348363973e-16,0
400,16965.571200000035,5.773159728050814e-14,0.00011811304963249831,1,1.0108897131935348,0,0,2.8449465006019636e-16,0
