step time energy_relative modified_relative
0 0 0 0
1 0.0015625000000000001 2.1969830528124764e-07 -2.9189002692495788e-15
50 0.078125 2.2906613793309829e-05 -3.2996263913256107e-15
100 0.15625 1.5699589623177258e-05 -2.2843567324561919e-15
150 0.234375 1.6247387125251783e-05 -7.6145224415206403e-16
200 0.3125 1.4709070522267473e-05 -2.9189002692495788e-15
250 0.390625 1.6325084853451224e-05 3.8072612207603202e-16
300 0.46875 1.4644942551518862e-05 -6.3454353679338663e-16
350 0.546875 1.9855337594519643e-05 0
400 0.625 1.4457724789240426e-05 -1.0152696588694186e-15
450 0.703125 1.1857097651138057e-05 2.4112654398148692e-15
500 0.78125 1.8115654402816727e-05 1.5229044883041281e-15
550 0.859375 1.9735695717477755e-05 -1.7767219030214827e-15
600 0.9375 1.3601376390758892e-05 -5.0763482943470932e-16
650 1.015625 1.1089465517522454e-05 -3.426535098684288e-15
700 1.09375 2.1973165279686057e-05 2.5381741471735466e-16
750 1.171875 2.0993583707166332e-05 -6.4723440752925442e-15
800 1.25 9.9417110749435153e-06 -8.8836095151074134e-16
850 1.328125 1.6305503206129306e-05 -3.8072612207603202e-16
900 1.40625 1.4427981307201904e-05 2.2843567324561919e-15
950 1.484375 2.6259640236143466e-05 -3.2996263913256107e-15
1000 1.5625 1.0113882849555088e-05 7.6145224415206403e-16
1050 1.640625 1.0916067284628734e-05 -2.5381741471735465e-15
1100 1.71875 2.0697417900452739e-05 6.3454353679338663e-16
1150 1.796875 2.245137901081128e-05 2.1574480250975146e-15
1200 1.875 1.2538067293932233e-05 2.1574480250975146e-15
1250 1.953125 1.3641332705350431e-05 -3.6803525134016427e-15
1300 2.03125 1.7517807964650817e-05 1.7767219030214827e-15
1350 2.109375 1.8587557495157755e-05 -2.1574480250975146e-15
1400 2.1875 1.8246098107256576e-05 -3.1727176839669334e-15
1450 2.265625 1.0740410724403405e-05 1.2690870735867733e-16
1500 2.34375 1.7897220695753439e-05 -2.5381741471735465e-15
1550 2.421875 1.6414887932879793e-05 2.5381741471735466e-16
1600 2.5 1.3471370695694391e-05 -3.8072612207603202e-16
1650 2.578125 2.4134719417479592e-05 -2.5381741471735466e-16
1700 2.65625 8.5268895136321746e-06 -4.9494395869884157e-15
1750 2.734375 1.530587300317051e-05 -6.0916179532165122e-15
1800 2.8125 1.9161705811571791e-05 1.2690870735867733e-15
1850 2.890625 1.6953315726256874e-05 5.3301657090644476e-15
1900 2.96875 1.2215065416258521e-05 1.2690870735867733e-15
1950 3.046875 1.6836310728379333e-05 1.7767219030214827e-15
2000 3.125 1.4226019832771102e-05 -8.8836095151074134e-16
2050 3.203125 1.8228394723090197e-05 -1.6498131956628054e-15
2100 3.28125 1.4947048545998862e-05 2.4112654398148692e-15
2150 3.359375 1.4620498055147591e-05 3.9341699281189973e-15
2200 3.4375 1.6740533892162541e-05 -4.9494395869884157e-15
