radius generated exact
1 0 1.0529312182108753e-17
1.03125 -0.085666331819317307 -0.083099659533912948
1.0625 -0.16241613670734034 -0.16297646584170331
1.09375 -0.24133718333589999 -0.23907429774846095
1.125 -0.30983433178073633 -0.31086961312915112
1.15625 -0.37794753994581487 -0.37787626894077037
1.1875 -0.43823178754929359 -0.4396498990492882
1.21875 -0.49495252905774201 -0.49579182876640704
1.25 -0.54424213020868606 -0.54595250615112456
1.28125 -0.58925557558698538 -0.58983443211851172
1.3125 -0.62528761354541018 -0.62719457405432533
1.34375 -0.655606407829606 -0.65784625081477943
1.375 -0.6796470389898458 -0.68166048057668527
1.40625 -0.69741058739935147 -0.69856678689299823
1.4375 -0.7065168208065461 -0.708553462414794
1.46875 -0.70984379571883061 -0.71166729398520978
1.5 -0.70603681329676893 -0.70801275712420464
1.53125 -0.69248401391687064 -0.69775069224171438
1.5625 -0.67924572975095476 -0.68109647918281158
1.59375 -0.6524061820532443 -0.65831773086831247
1.625 -0.62804547119223053 -0.62973153079863953
1.65625 -0.59159816299427648 -0.59570124299222293
1.6875 -0.55514576724098585 -0.55663292649083929
1.71875 -0.50975319944120745 -0.51297138984526514
1.75 -0.4639468735485251 -0.46519592396161247
1.78125 -0.41200738131057413 -0.41381575431170559
1.8125 -0.35839426831229187 -0.35936525576386247
1.84375 -0.30086181987667704 -0.30239897515155706
1.875 -0.24282619204726916 -0.24348650814884565
1.90625 -0.18153607500728358 -0.18320727804960596
1.9375 -0.12181393129453408 -0.1221452646432666
1.96875 -0.059642956191925244 -0.060883731537741133
2 0 9.527884761514903e-17
