step time energy_relative modified_relative
0 0 0 0
1 0.0015625000000000001 1.8685655767681731e-09 -2.3497763567080933e-15
50 0.078125 1.6535419214371462e-05 -2.1819351883718007e-15
100 0.15625 1.0588172631886069e-05 -3.8603468717347243e-15
150 0.234375 1.1790002056330184e-05 -6.210123228442818e-15
200 0.3125 8.3675485748348392e-06 -5.3709173867613558e-15
250 0.390625 9.4181684320319498e-06 -4.3638703767436015e-15
300 0.46875 1.2783832946376619e-05 -6.210123228442818e-15
350 0.546875 1.2943467222522727e-05 -2.3497763567080933e-15
400 0.625 9.3522836794330829e-06 -5.0352350500887708e-15
450 0.703125 1.1084839630578349e-05 -3.3568233667258476e-15
500 0.78125 1.1158096154498691e-05 -5.7065997234339408e-15
550 0.859375 1.1414695932124421e-05 -2.1819351883718007e-15
600 0.9375 1.1792422358712928e-05 -7.5528525751331565e-15
650 1.015625 1.1467131545619116e-05 -1.1748881783540466e-15
700 1.09375 8.6717665292803575e-06 -4.0281880400710172e-15
750 1.171875 1.3290652418137443e-05 -2.8532998617169704e-15
800 1.25 9.8595956462874373e-06 -3.0211410300532625e-15
850 1.328125 1.4244773396120889e-05 -8.0563760801420345e-15
900 1.40625 1.0207947996251307e-05 -2.8532998617169704e-15
950 1.484375 1.0485739738132044e-05 -4.3638703767436015e-15
1000 1.5625 1.1009504910117811e-05 -4.0281880400710172e-15
1050 1.640625 1.1623901528959219e-05 -3.3568233667258476e-15
1100 1.71875 1.2701758730630001e-05 -1.6784116833629238e-15
1150 1.796875 9.4151583319991539e-06 -2.8532998617169704e-15
1200 1.875 1.1539681075962959e-05 -3.1889821983895551e-15
1250 1.953125 1.0180458379456502e-05 -3.6925057033984322e-15
1300 2.03125 1.325943946174623e-05 -3.1889821983895551e-15
1350 2.109375 1.017224924892109e-05 -3.5246645350621397e-15
1400 2.1875 1.0366663971810105e-05 -3.8603468717347243e-15
1450 2.265625 1.0093308316311988e-05 -2.6854586933806779e-15
1500 2.34375 1.1184698141231981e-05 -5.7065997234339408e-15
1550 2.421875 1.073608780094766e-05 -5.0352350500887708e-15
1600 2.5 1.162758792317429e-05 -3.3568233667258476e-15
1650 2.578125 1.2262215336567195e-05 -3.3568233667258476e-15
1700 2.65625 9.033553533277572e-06 -3.0211410300532625e-15
1750 2.734375 1.003098162550105e-05 -5.3709173867613558e-15
1800 2.8125 9.9958559631813751e-06 1.6784116833629237e-16
1850 2.890625 1.1259512747567033e-05 -4.5317115450798944e-15
1900 2.96875 1.4093630262350229e-05 -3.5246645350621397e-15
1950 3.046875 8.4274167778818894e-06 -4.3638703767436015e-15
2000 3.125 1.0419121428133004e-05 -3.5246645350621397e-15
2050 3.203125 1.0639952570307338e-05 -2.8532998617169704e-15
2100 3.28125 1.2943546786603408e-05 -5.0352350500887716e-16
2150 3.359375 1.1655556412855768e-05 -4.5317115450798944e-15
2200 3.4375 1.0502226927448721e-05 -5.7065997234339408e-15
