step time energy_relative modified_relative
0 0 0 0
1 0.0010416666666666667 4.0508522516115077e-08 -2.1933191582741712e-15
16 0.016666666666666666 9.0223321844644915e-06 -2.2591187330223961e-14
32 0.033333333333333333 2.5781428944010431e-05 -2.3029851161878798e-14
48 0.050000000000000003 3.8244818067943399e-05 -1.5791897939574031e-14
64 0.066666666666666666 4.2707285399104688e-05 -2.8293817141736809e-14
80 0.083333333333333329 4.0099361982009305e-05 -3.7505757606488327e-14
96 0.10000000000000001 3.4374885140605539e-05 -3.2461123542457735e-14
112 0.11666666666666667 3.0739476800177375e-05 -3.3338451205767401e-14
128 0.13333333333333333 3.1401915404036175e-05 -2.8951812889219059e-14
144 0.14999999999999999 3.2839870211818615e-05 -3.4873774616559323e-14
160 0.16666666666666666 3.1912377762055668e-05 -4.5621038492102762e-14
176 0.18333333333333332 3.1152873322060653e-05 -3.114513204749323e-14
192 0.20000000000000001 3.211690020488093e-05 -5.812295769426554e-14
208 0.21666666666666667 3.3219541962664852e-05 -5.2420327882752692e-14
224 0.23333333333333334 3.3166052104367628e-05 -3.5312438448214156e-14
240 0.25 3.1102217570325737e-05 -3.728642569066091e-14
256 0.26666666666666666 2.8193249530753322e-05 -3.4654442700731906e-14
272 0.28333333333333333 2.6892250085283682e-05 -4.2111727838864086e-14
288 0.29999999999999999 2.8088608007311523e-05 -7.4353519465494398e-14
304 0.31666666666666665 3.0399522734215639e-05 -6.2728927926641292e-14
320 0.33333333333333331 3.173633803181735e-05 -6.1412936431676793e-14
336 0.34999999999999998 3.1232958359763627e-05 -2.8732480973391642e-14
352 0.36666666666666664 2.928468858873777e-05 -4.123440017555442e-14
368 0.3833333333333333 2.7589328963878781e-05 -7.3256859886357322e-14
384 0.40000000000000002 2.7568543382240561e-05 -2.039786817194979e-14
400 0.41666666666666669 2.8557591120551184e-05 -6.6676902411534802e-14
416 0.43333333333333335 2.9206411681895149e-05 -1.5572566023746615e-14
432 0.45000000000000001 2.9019070701640934e-05 -5.0227008724478521e-14
448 0.46666666666666667 2.848603908005153e-05 -5.0446340640305938e-14
464 0.48333333333333334 2.8495213542613826e-05 -2.8293817141736809e-14
480 0.5 2.9074179393537236e-05 -7.2160200307220233e-14
496 0.51666666666666661 3.0178499975050528e-05 -5.5271642788509113e-14
512 0.53333333333333333 3.1418576470053127e-05 -8.268813226693625e-14
528 0.55000000000000004 3.224332290577991e-05 -3.6628429943178661e-14
544 0.56666666666666665 3.2722627766476493e-05 -8.1372140771971751e-14
560 0.58333333333333337 3.2958310891324083e-05 -5.3078323630234942e-14
576 0.59999999999999998 3.2688422291820825e-05 -5.5052310872681696e-14
