step time energy_relative modified_relative
0 0 0 0
1 0.0010416666666666667 3.9660289481535347e-08 -6.3606234181969099e-15
16 0.016666666666666666 8.8887690016558602e-06 -1.601122446649567e-14
32 0.033333333333333333 2.5547709338434136e-05 -1.776587920254999e-14
48 0.050000000000000003 3.7947333926219312e-05 -2.675848472482838e-14
64 0.066666666666666666 4.2438000605185853e-05 -1.8643206570577151e-14
80 0.083333333333333329 3.9899491133788537e-05 -2.017852946462468e-14
96 0.10000000000000001 3.4207348212351741e-05 -3.8821736035201828e-14
112 0.11666666666666667 3.0494214221175039e-05 -3.3777103669045663e-14
128 0.13333333333333333 3.1046838604882727e-05 -2.434583446275369e-14
144 0.14999999999999999 3.2723176414393739e-05 -2.6977816566835171e-14
160 0.16666666666666666 3.2186900396706846e-05 -5.3078305765643178e-14
176 0.18333333333333332 3.1410506860600779e-05 -3.5093094721086397e-14
192 0.20000000000000001 3.2302087156572476e-05 -4.3866368401358e-14
208 0.21666666666666667 3.3227132910230889e-05 -4.0795722613262942e-14
224 0.23333333333333334 3.2850233098807582e-05 -3.202244893299134e-14
240 0.25 3.0562166758168055e-05 -4.6717682347446272e-14
256 0.26666666666666666 2.7355677479423562e-05 -3.7067081299147511e-14
272 0.28333333333333333 2.5566327002934383e-05 -2.6977816566835171e-14
288 0.29999999999999999 2.6310670343532785e-05 -5.110431918758207e-14
304 0.31666666666666665 2.8530049473460637e-05 -4.2111713665303683e-14
320 0.33333333333333331 3.0584607062591287e-05 -3.4215767353059239e-14
336 0.34999999999999998 3.1692019340132747e-05 -4.3208372875337632e-14
352 0.36666666666666664 3.146852219343423e-05 -4.978832813554133e-14
368 0.3833333333333333 3.0418397599548469e-05 -4.6498350505439481e-14
384 0.40000000000000002 2.9610805413064068e-05 -5.2639642081629602e-14
400 0.41666666666666669 2.9182739536811007e-05 -1.074726025833271e-14
416 0.43333333333333335 2.8559597549299899e-05 -3.3996435511052448e-14
432 0.45000000000000001 2.7760620553947968e-05 -4.5401691295405531e-14
448 0.46666666666666667 2.756829861083454e-05 -3.2680444459011707e-14
464 0.48333333333333334 2.8357312000614414e-05 -6.7115543654077743e-14
480 0.5 2.9674177900038045e-05 -3.0048462354930232e-14
496 0.51666666666666661 3.1073506503363494e-05 -5.3736301291663552e-14
512 0.53333333333333333 3.194417281269857e-05 -6.0096924709860464e-14
528 0.55000000000000004 3.1687217144902167e-05 -7.2598839704247484e-14
544 0.56666666666666665 3.0602295593981092e-05 -2.675848472482838e-14
560 0.58333333333333337 2.9644664153799363e-05 -3.3996435511052448e-14
576 0.59999999999999998 2.9406201358800381e-05 -2.4784498146767269e-14
