step time energy_relative modified_relative
0 0 0 0
1 0.0010416666666666667 3.9660289481535347e-08 -6.3606234181969099e-15
48 0.050000000000000003 3.7947333926219312e-05 -2.675848472482838e-14
96 0.10000000000000001 3.4207348212351741e-05 -3.8821736035201828e-14
144 0.14999999999999999 3.2723176414393739e-05 -2.6977816566835171e-14
192 0.20000000000000001 3.2302087156572476e-05 -4.3866368401358e-14
240 0.25 3.0562166758168055e-05 -4.6717682347446272e-14
288 0.29999999999999999 2.6310670343532785e-05 -5.110431918758207e-14
336 0.34999999999999998 3.1692019340132747e-05 -4.3208372875337632e-14
384 0.40000000000000002 2.9610805413064068e-05 -5.2639642081629602e-14
432 0.45000000000000001 2.7760620553947968e-05 -4.5401691295405531e-14
480 0.5 2.9674177900038045e-05 -3.0048462354930232e-14
528 0.55000000000000004 3.1687217144902167e-05 -7.2598839704247484e-14
576 0.59999999999999998 2.9406201358800381e-05 -2.4784498146767269e-14
624 0.65000000000000002 3.010012776225608e-05 -6.3386902339962306e-14
672 0.69999999999999996 2.9624703516701864e-05 -9.6506010482987608e-15
720 0.75 3.0734908706041851e-05 -8.8390732328736373e-14
768 0.80000000000000004 2.9914350012784678e-05 -8.4442759172614144e-14
816 0.84999999999999998 3.0403189815693718e-05 -3.0706457880950599e-14
864 0.90000000000000002 2.9388412414441994e-05 -7.3037503388261067e-14
912 0.94999999999999996 3.0580431834230364e-05 -8.7732736802715999e-14
960 1 3.0253028654287961e-05 -1.1317523047550364e-13
1008 1.05 2.877106620023106e-05 -8.8390732328736373e-14
1056 1.1000000000000001 2.9779924039264966e-05 -8.5978082066661682e-14
1104 1.1499999999999999 2.8881082943393073e-05 -1.0878859363536784e-13
1152 1.2 2.9125091667062358e-05 -4.978832813554133e-14
1200 1.25 3.2650049621012595e-05 -3.9041067877208619e-14
1248 1.3 3.1349728700620916e-05 -7.4572826282308605e-14
1296 1.3500000000000001 2.8545032794643596e-05 -5.1542982871595653e-14
1344 1.3999999999999999 2.9858430758695801e-05 -3.0706457880950599e-14
1392 1.45 3.0635469054967211e-05 -3.8383072351188252e-14
1440 1.5 2.8053896404645323e-05 -3.4873762879079612e-14
1488 1.55 3.0358748976841084e-05 -3.6189753931120353e-14
1536 1.6000000000000001 3.1073802922452015e-05 1.952053393860431e-14
1584 1.6499999999999999 2.8376529074035038e-05 2.7197148408841959e-14
1632 1.7 3.0165187150166797e-05 4.3866368401357996e-15
1680 1.75 3.1276175561451339e-05 1.4695233414454929e-14
1728 1.8 2.9508891715700147e-05 -4.3427704717344417e-14
1776 1.8499999999999999 2.9754846801321324e-05 -1.4475901572448141e-14
1824 1.8999999999999999 3.0852808434978231e-05 1.272124683639382e-14
1872 1.95 2.8623999598802793e-05 2.1933184200678998e-15
1920 2 3.0397159906090865e-05 4.6059686821425899e-14
1968 2.0499999999999998 3.0524465420944143e-05 3.3119108143025289e-14
2016 2.1000000000000001 2.9957946988386414e-05 -2.1275188674658629e-14
2064 2.1499999999999999 2.9536576228235202e-05 -1.7107883676529619e-14
2112 2.2000000000000002 2.9665028756064134e-05 -2.7635812092855539e-14
2160 2.25 2.9621115908613473e-05 -2.9390466828909858e-14
2208 2.2999999999999998 2.9478903082027082e-05 0
2256 2.3500000000000001 3.0642914718052451e-05 3.5312426563093188e-14
2304 2.3999999999999999 3.0437240700773214e-05 -2.9829130512923441e-14
2352 2.4500000000000002 3.0475990816627389e-05 -3.4215767353059239e-14
2400 2.5 3.0619553597582224e-05 6.8650866548125269e-14
2448 2.5499999999999998 2.8889243897842085e-05 -1.601122446649567e-14
2496 2.6000000000000001 2.9411920851117889e-05 3.5531758405099979e-14
2544 2.6499999999999999 2.9916489141544536e-05 -2.2810511568706161e-14
2592 2.7000000000000002 3.0149886623816641e-05 2.8732471302889491e-14
2640 2.75 2.9051737314482482e-05 -3.794440866717467e-14
2688 2.7999999999999998 3.1442441555521776e-05 3.7505744983161087e-14
2736 2.8500000000000001 2.9321411558750105e-05 3.2899776301018501e-15
2784 2.8999999999999999 2.9703061663374903e-05 -2.0397861306631471e-14
2832 2.9500000000000002 3.128293126007859e-05 -2.4126502620746902e-15
2880 3 2.9639433672790199e-05 3.3777103669045663e-14
2928 3.0499999999999998 2.8988123301258073e-05 -3.202244893299134e-14
2976 3.1000000000000001 3.0610801910322515e-05 4.2989041033330841e-14
3024 3.1499999999999999 2.9431595057498945e-05 1.4695233414454929e-14
3072 3.2000000000000002 3.0102491430015206e-05 -4.7156346031459848e-14
3120 3.25 3.0362636438973979e-05 4.1892381823296892e-14
3168 3.2999999999999998 2.9750638170256187e-05 -1.53532289404753e-14
3216 3.3500000000000001 2.9080806736082311e-05 2.1933184200679001e-16
3264 3.3999999999999999 3.0526040584370627e-05 -4.3427704717344417e-14
3312 3.4499999999999997 2.9642794027209114e-05 1.7985211044556781e-14
3360 3.5 3.0373050765120733e-05 5.4832960501697501e-14
3408 3.5499999999999998 3.109705724344908e-05 -2.9390466828909858e-14
3456 3.6000000000000001 2.9294289731308458e-05 1.7546547360543201e-15
3504 3.6499999999999999 2.9754549852107734e-05 2.4126502620746899e-14
3552 3.6999999999999997 3.0174732998546686e-05 1.2063251310373449e-14
3600 3.75 2.9348782074504154e-05 -1.7546547360543199e-14
3648 3.7999999999999998 2.9236723998921991e-05 3.2899776301018498e-14
3696 3.8500000000000001 3.0278686862801347e-05 7.8959463122444394e-15
3744 3.8999999999999999 3.1032085195013171e-05 -7.128284865220675e-14
3792 3.9499999999999997 2.8861706109316729e-05 1.7985211044556781e-14
3840 4 3.0942071640641996e-05 3.5093094721086397e-14
3888 4.0499999999999998 3.0430093825999059e-05 -3.2241780774998131e-14
3936 4.0999999999999996 2.8951839177608612e-05 -1.9301202096597522e-14
3984 4.1500000000000004 3.0253964551153748e-05 1.425656973044135e-14
4032 4.2000000000000002 3.0384932662994204e-05 3.5312426563093188e-14
4080 4.25 2.8333308532409773e-05 -9.21193736428518e-15
4128 4.2999999999999998 3.1056920819412313e-05 5.351696944965676e-14
4176 4.3499999999999996 2.9775580344528851e-05 1.6888551834522831e-14
4224 4.4000000000000004 3.0390450452266506e-05 4.8911000767514171e-14
4272 4.4500000000000002 2.9842941292658988e-05 -6.5799552602037005e-16
4320 4.5 2.9527139530346485e-05 -1.359857420442098e-14
4368 4.5499999999999998 2.9717658230798897e-05 2.544249367278764e-14
4416 4.5999999999999996 2.9820457364229045e-05 8.1152781542512305e-15
4464 4.6500000000000004 3.1629562827674689e-05 -1.7107883676529619e-14
4512 4.7000000000000002 2.9205390755778143e-05 -9.21193736428518e-15
4560 4.75 2.9865145310011497e-05 -2.324917525271974e-14
4608 4.7999999999999998 3.0552742098088161e-05 1.842387472857036e-14
4656 4.8499999999999996 2.8089537047053409e-05 -1.53532289404753e-14
4704 4.9000000000000004 3.0732649543764149e-05 -4.5401691295405531e-14
4752 4.9500000000000002 3.0067903984677335e-05 -3.092578972295739e-14
4800 5 2.933443021583562e-05 1.337924236241419e-14
