step,water,bank,speed,rmin,rmax,overhang,bad,gauge_offshore,gauge_surf,shore_overhang,downward_speed,runup
0,4300.1340000000364,0,0,1,1.0102,0,0,34.5,34.5,0,0,0
60,4300.1340000000082,1.3766765505351941e-14,0.0001376330262303057,1,1.0104524436212994,0,0,34.491373333058604,34.491373337754872,0,0,0
120,4300.1339999999973,2.042810365310288e-14,8.592692063387609e-05,1,1.0106544895491258,0,0,34.488456037517707,34.488492295394231,0,0,0
180,4300.1339999999918,2.8199664825478976e-14,0.00015441764320474761,1,1.0104197409364621,0,0,34.496365112476802,34.49642331475637,0,0,0
240,4300.134,3.5083047578154947e-14,7.4356051404905144e-05,1,1.0101911322846162,0,0,34.49944987473409,34.499475254164579,0,0,0
300,4300.1340000000037,4.2854608750531042e-14,0.00014659307384971124,1,1.0104232267074185,0,0,34.492118457177362,34.492147102489561,0,0,0
360,4300.1339999999982,5.0404125317982107e-14,7.4085590724005308e-05,1,1.0106532058227837,0,0,34.488712699970094,34.488757554273569,0,0,0
420,4300.1340000000082,5.6621374255882984e-14,0.00015046975644531771,1,1.0104270410561753,0,0,34.495514907588415,34.495557853439443,0,0,0
480,4300.13400000001,6.2172489379008766e-14,6.8959838558598483e-05,1,1.0101842074899752,0,0,34.499142893813598,34.499198143385009,0,0,0
540,4300.1339999999927,6.8167693711984612e-14,0.0001413218838261209,1,1.0104063769923071,0,0,34.492762763880677,34.492796680533672,0,0,0
600,4300.13399999999,7.5051076464660582e-14,6.5482440964638022e-05,1,1.0106333500146047,0,0,34.48893799951103,34.488982156902686,0,0,0
660,4300.1339999999973,8.2822637637036678e-14,0.00014325703895512056,1,1.0104508563235233,0,0,34.494825142749448,34.494898696226322,0,0,0
720,4300.1339999999918,9.2148511043887993e-14,5.9528218144020985e-05,1,1.0101925432071088,0,0,34.498767131865854,34.49880816262322,0,0,0
780,4300.1340000000027,9.5701224722688494e-14,0.00014021413944407222,1,1.0103898332807084,0,0,34.493351782946057,34.493404036701875,0,0,0
840,4300.1340000000009,1.0236256287043943e-13,5.4863776089730729e-05,1,1.0106286713669586,0,0,34.489215605628019,34.489296424225401,0,0,0
900,4300.1339999999909,1.0946799022804043e-13,0.00013775706865487724,1,1.010456422797579,0,0,34.494146552601883,34.494211222107978,0,0,0
960,4300.1340000000064,1.1612932837579137e-13,4.5413989162900102e-05,1,1.0101929651941821,0,0,34.498427975374348,34.498493131172282,0,0,0
1020,4300.1339999999918,1.2345680033831741e-13,0.00013162802454291751,1,1.0103726159279987,0,0,34.493890313464171,34.493948434473332,0,0,0
1080,4300.1339999999855,1.2878587085651816e-13,3.66969130328555e-05,1,1.0106153601343777,0,0,34.48947103043151,34.4895450006807,0,0,0
1140,4300.1339999999873,1.3700152123874432e-13,0.00013133763049783269,1,1.0104659217192273,0,0,34.493584766891111,34.493683746590072,0,0,0
1200,4300.1339999999891,1.4521717162097048e-13,3.79139349216533e-05,1,1.0102023670688138,0,0,34.498070572897618,34.498128544497845,0,0,0
